Title,humidity,temperature,pressure,voc,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b,data_cleaned
0,21.3,85.4,1002.902,,0.01,2.4,2.3,2.6,10.0,9.3,10.7,7.9,7.5,8.3,176.8,183.8,170.4,669.6595,623.187,716.132,186.8805,176.261,197.5,17.9685,17.076,18.861,1.293,1.395,1.191,0.226,0.19,0.262,0.1205,0.142,0.099,2.6790000000000003,2.491,2.867,2.6790000000000003,2.491,2.867,3.5465,3.325,3.768,3.5465,3.325,3.768,3.7755,3.547,4.004,3.7755,3.547,4.004,
0,25.0,84.267,1002.865,,0.01,2.8,2.6,2.9,11.3,10.5,12.0,8.5,8.2,8.9,165.9,172.2,160.0,750.7484999999999,702.737,798.76,210.192,199.557,220.827,21.5555,20.579,22.532,1.8015,2.01,1.593,0.3914999999999999,0.433,0.35,0.1315,0.132,0.131,3.178,3.021,3.335,3.178,3.021,3.335,4.227,4.023,4.431,4.227,4.023,4.431,4.619,4.447,4.791,4.619,4.447,4.791,
0,39.034,78.867,1003.148,,0.01,3.9,3.6,4.2,15.1,13.8,16.4,10.3,9.8,10.9,138.8,146.9,131.6,1005.2145,919.836,1090.593,282.2115,262.88,301.543,33.7655,31.773,35.758,3.0355,3.333,2.738,0.609,0.669,0.549,0.219,0.271,0.167,4.6995000000000005,4.319,5.08,4.6995000000000005,4.319,5.08,6.396,5.968,6.824,6.396,5.968,6.824,7.026,6.646,7.406,7.026,6.646,7.406,
0,41.034,78.733,1003.22,,0.01,4.4,4.2,4.5,16.3,15.5,17.2,10.8,10.5,11.2,131.8,136.6,127.3,1088.4225,1030.954,1145.891,306.533,293.939,319.127,37.716,37.081,38.351,3.1055,3.375,2.836,0.6505000000000001,0.76,0.541,0.291,0.351,0.231,5.1355,4.936,5.335,5.1355,4.936,5.335,6.9975000000000005,6.718,7.277,6.9975000000000005,6.718,7.277,7.644,7.455,7.833,7.644,7.455,7.833,
0,41.534,77.367,1003.424,,0.01,6.1,5.8,6.4,21.9,20.7,23.1,12.9,12.5,13.3,107.5,112.0,103.4,1459.21,1379.028,1539.392,414.1205,396.303,431.938,55.8435,53.18,58.507,4.745,5.014,4.476,0.8225,0.829,0.816,0.35,0.349,0.351,7.387,7.195,7.579,7.387,7.195,7.579,10.273,9.924,10.622,10.273,9.924,10.622,11.1735,10.791,11.556,11.1735,10.791,11.556,
0,42.167,76.733,1003.725,,0.01,5.3,4.9,5.6,19.6,18.4,20.9,12.1,11.6,12.5,116.3,121.8,111.3,1307.711,1223.682,1391.74,370.313,351.468,389.158,45.996,43.842,48.15,4.031000000000001,4.719,3.343,0.788,0.868,0.708,0.308,0.284,0.332,6.523,6.23,6.816,6.523,6.23,6.816,8.83,8.497,9.163,8.83,8.497,9.163,9.652,9.402,9.902,9.652,9.402,9.902,
0,48.066,75.166,1003.995,,0.01,6.7,6.3,7.1,24.1,22.5,25.6,13.6,13.1,14.0,100.3,105.4,95.7,1603.8915000000002,1500.199,1707.584,455.5255,432.603,478.448,59.966,57.277,62.655,4.797000000000001,5.437,4.157,0.8005,0.861,0.74,0.3775,0.489,0.266,8.217,7.849,8.585,8.217,7.849,8.585,11.2335,10.808,11.659,11.2335,10.808,11.659,12.1505,11.777,12.524,12.1505,11.777,12.524,
0,48.834,74.067,1004.64,,0.01,4.2,4.0,4.3,15.5,14.5,16.4,10.5,10.1,10.9,136.6,142.1,131.5,1030.6445,968.926,1092.363,292.6155,277.759,307.472,36.298,35.467,37.129,3.1740000000000004,3.434,2.914,0.6395,0.654,0.625,0.254,0.246,0.262,4.896,4.633,5.159,4.896,4.633,5.159,6.749499999999999,6.489,7.01,6.749499999999999,6.489,7.01,7.406,7.14,7.672,7.406,7.14,7.672,
0,45.5,72.434,1005.339,,0.01,2.3,2.3,2.4,9.4,8.7,10.0,7.5,7.2,7.9,183.7,190.7,177.3,623.637,580.693,666.581,175.12,165.448,184.792,19.0965,19.562,18.631,2.1115,2.457,1.766,0.5305,0.625,0.436,0.177,0.215,0.139,3.5685,4.518,2.619,3.1870000000000003,3.755,2.619,4.192,4.813,3.571,4.5745000000000005,5.578,3.571,4.664,5.331,3.997,5.0465,6.096,3.997,
0,44.067,71.833,1005.766,,0.01,1.8,1.7,1.8,7.2,6.8,7.6,6.2,6.0,6.5,208.8,214.2,203.7,481.929,455.784,508.074,134.437,129.144,139.73,14.526,14.506,14.546,1.584,1.777,1.391,0.3555,0.382,0.329,0.1689999999999999,0.141,0.197,1.582,1.504,1.66,1.582,1.504,1.66,2.3595,2.245,2.474,2.3595,2.245,2.474,2.7215,2.62,2.823,2.7215,2.62,2.823,
